date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-28,10.2,10.33,10.2,10.24,10.24,7798582.0,0.0,1.0
2020-07-29,10.29,10.29,10.18,10.18,10.18,1154470.0,0.0,1.0
2020-07-30,10.2,10.25,10.059,10.1,10.1,587826.0,0.0,1.0
2020-07-31,10.1,10.1,10.01,10.02,10.02,268172.0,0.0,1.0
2020-08-03,10.02,10.05,9.97,10.0,10.0,1123310.0,0.0,1.0
2020-08-04,10.1,10.1,10.01,10.03,10.03,61664.0,0.0,1.0
2020-08-05,10.05,10.05,10.01,10.01,10.01,270621.0,0.0,1.0
2020-08-06,10.05,10.05,10.02,10.03,10.03,37821.0,0.0,1.0
2020-08-07,10.05,10.05,10.0,10.0,10.0,709206.0,0.0,1.0
2020-08-10,10.05,10.08,10.02,10.02,10.02,2252.0,0.0,1.0
2020-08-11,10.02,10.02,10.02,10.02,10.02,4410.0,0.0,1.0
2020-08-12,10.02,10.04,10.02,10.03,10.03,270520.0,0.0,1.0
2020-08-13,10.03,10.03,10.02,10.02,10.02,100252.0,0.0,1.0
2020-08-14,10.03,10.03,10.01,10.01,10.01,80234.0,0.0,1.0
2020-08-17,10.02,10.02,9.99,9.99,9.99,5997.0,0.0,1.0
2020-08-18,10.04,10.04,9.995,10.0,10.0,148267.0,0.0,1.0
2020-08-19,10.0,10.01,9.98,9.98,9.98,276863.0,0.0,1.0
2020-08-20,9.98,10.0,9.98,10.0,10.0,28308.0,0.0,1.0
2020-08-21,10.0,10.0,9.97,9.97,9.97,8784.0,0.0,1.0
2020-08-24,9.98,9.98,9.97,9.9704,9.9704,28498.0,0.0,1.0
2020-08-25,9.97,9.9847,9.97,9.97,9.97,14237.0,0.0,1.0
2020-08-26,10.0,10.0002,9.99,9.99,9.99,28078.0,0.0,1.0
2020-08-27,9.99,9.99,9.99,9.99,9.99,15.0,0.0,1.0
2020-08-28,9.98,9.98,9.9,9.92,9.92,284092.0,0.0,1.0
2020-08-31,9.98,9.98,9.96,9.96,9.96,16184.0,0.0,1.0
2020-09-01,9.97,9.9702,9.95,9.96,9.96,118715.0,0.0,1.0
2020-09-02,9.96,9.96,9.95,9.95,9.95,7601.0,0.0,1.0
2020-09-03,9.99,10.08,9.97,10.0,10.0,89651.0,0.0,1.0
2020-09-04,10.049,10.08,10.02,10.06,10.06,25400.0,0.0,1.0
2020-09-08,10.01,10.01,10.0,10.0,10.0,12050.0,0.0,1.0
2020-09-09,10.02,10.0568,10.02,10.05,10.05,2100.0,0.0,1.0
2020-09-10,10.092,10.092,10.02,10.03,10.03,14700.0,0.0,1.0
2020-09-11,10.045,10.0645,10.0,10.0,10.0,650.0,0.0,1.0
2020-09-14,10.01,10.0999,10.0,10.05,10.05,11623.0,0.0,1.0
2020-09-15,10.05,10.1,10.03,10.055,10.055,201897.0,0.0,1.0
2020-09-16,10.075,10.11,10.075,10.095,10.095,20571.0,0.0,1.0
2020-09-17,10.1199,10.6,10.05,10.07,10.07,383069.0,0.0,1.0
2020-09-18,10.13,10.32,10.13,10.24,10.24,100349.0,0.0,1.0
2020-09-21,10.2,10.3778,10.2,10.3778,10.3778,73369.0,0.0,1.0
2020-09-22,10.3,10.3,10.2,10.21,10.21,2576.0,0.0,1.0
2020-09-23,10.29,10.29,10.255,10.255,10.255,1343.0,0.0,1.0
2020-09-24,10.2,10.205,10.16,10.205,10.205,4814.0,0.0,1.0
2020-09-25,10.15,10.15,10.14,10.14,10.14,6932.0,0.0,1.0
2020-09-28,10.16,10.165,10.11,10.13,10.13,5817.0,0.0,1.0
2020-09-29,10.12,10.14,10.11,10.12,10.12,4730.0,0.0,1.0
2020-09-30,10.16,10.25,10.145,10.25,10.25,281916.0,0.0,1.0
2020-10-01,10.25,10.25,10.08,10.1,10.1,29564.0,0.0,1.0
2020-10-02,10.05,10.14,10.05,10.05,10.05,14871.0,0.0,1.0
2020-10-05,10.05,10.05,10.0486,10.05,10.05,3227.0,0.0,1.0
2020-10-06,10.02,10.02,10.02,10.02,10.02,1413.0,0.0,1.0
2020-10-07,10.05,10.175,10.02,10.17,10.17,284253.0,0.0,1.0
2020-10-08,10.04,10.04,10.04,10.04,10.04,420.0,0.0,1.0
2020-10-09,10.04,10.045,10.02,10.03,10.03,13940.0,0.0,1.0
2020-10-12,10.03,10.147,10.01,10.01,10.01,4493.0,0.0,1.0
2020-10-13,10.1,10.1,10.04,10.04,10.04,2333.0,0.0,1.0
2020-10-14,10.04,10.04,9.98,10.0,10.0,60819.0,0.0,1.0
2020-10-15,10.0,10.0149,10.0,10.0149,10.0149,13900.0,0.0,1.0
2020-10-16,10.0012,10.032,10.0,10.0229,10.0229,1967.0,0.0,1.0
2020-10-19,10.0012,10.02,10.0,10.01,10.01,6533.0,0.0,1.0
2020-10-20,9.98,10.0409,9.98,10.03,10.03,1782.0,0.0,1.0
2020-10-21,9.99,9.99,9.98,9.98,9.98,5522.0,0.0,1.0
2020-10-22,9.99,10.0,9.99,10.0,10.0,1500.0,0.0,1.0
2020-10-23,10.0,10.0,10.0,10.0,10.0,320.0,0.0,1.0
2020-10-26,9.95,9.981,9.95,9.96,9.96,2024.0,0.0,1.0
2020-10-27,9.95,9.98,9.95,9.96,9.96,251553.0,0.0,1.0
2020-10-28,10.05,10.05,9.93,9.93,9.93,5237.0,0.0,1.0
2020-10-29,9.95,9.95,9.95,9.95,9.95,346.0,0.0,1.0
2020-10-30,10.0072,10.0072,9.92,9.92,9.92,17668.0,0.0,1.0
2020-11-02,9.9932,9.9932,9.92,9.92,9.92,386.0,0.0,1.0
2020-11-03,9.985,9.985,9.97,9.97,9.97,1931.0,0.0,1.0
2020-11-04,9.99,9.99,9.97,9.97,9.97,563.0,0.0,1.0
2020-11-05,9.98,9.98,9.95,9.9509,9.9509,4095.0,0.0,1.0
2020-11-06,10.0399,10.04,9.99,10.0,10.0,3920.0,0.0,1.0
2020-11-09,10.02,10.05,10.01,10.04,10.04,4385.0,0.0,1.0
2020-11-10,10.0,10.0,10.0,10.0,10.0,406.0,0.0,1.0
2020-11-11,10.0,10.0,10.0,10.0,10.0,10.0,0.0,1.0
2020-11-12,9.98,9.981,9.98,9.981,9.981,301.0,0.0,1.0
2020-11-13,10.07,10.08,10.0,10.0,10.0,6046.0,0.0,1.0
2020-11-16,10.1,10.1,10.03,10.03,10.03,2032.0,0.0,1.0
2020-11-17,10.03,10.03,10.03,10.03,10.03,0.0,0.0,1.0
2020-11-18,10.03,10.03,10.03,10.03,10.03,1000.0,0.0,1.0
2020-11-19,10.065,10.065,10.03,10.03,10.03,211.0,0.0,1.0
2020-11-20,10.17,10.17,10.09,10.09,10.09,1650.0,0.0,1.0
2020-11-23,10.05,10.1603,10.05,10.07,10.07,26965.0,0.0,1.0
2020-11-24,10.1,10.11,10.05,10.05,10.05,10603.0,0.0,1.0
2020-11-25,10.06,10.0877,10.05,10.05,10.05,3362.0,0.0,1.0
2020-11-27,10.1,10.1,10.1,10.1,10.1,156300.0,0.0,1.0
2020-11-30,10.12,10.15,10.12,10.15,10.15,12616.0,0.0,1.0
2020-12-01,10.15,10.18,10.15,10.18,10.18,13422.0,0.0,1.0
2020-12-02,10.2,10.2,10.17,10.18,10.18,42343.0,0.0,1.0
2020-12-03,10.18,10.18,10.12,10.12,10.12,494.0,0.0,1.0
