date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-09-06,75.09,75.15,75.09,75.13,70.0034049495,33125.0,0.0,1.0
2018-09-07,75.05,75.05,74.94,74.96,69.8450051247,60351.0,0.0,1.0
2018-09-10,75.0,75.04,74.95,75.0,69.8822756717,57187.0,0.0,1.0
2018-09-11,74.99,74.99,74.88,74.925,69.812393396,99696.0,0.0,1.0
2018-09-12,74.97,75.0,74.97,74.97,69.8543227614,33557.0,0.0,1.0
2018-09-13,75.07,75.07,74.97,74.97,69.8543227614,24309.0,0.0,1.0
2018-09-14,74.93,74.93,74.87,74.88,69.7704640306,32996.0,0.0,1.0
2018-09-17,74.89,74.93,74.85,74.9,69.7890993041,26918.0,0.0,1.0
2018-09-18,74.91,74.91,74.79,74.8,69.6959229366,17420.0,0.0,1.0
2018-09-19,74.78,74.78,74.67,74.7,69.602746569,24594.0,0.0,1.0
2018-09-20,74.7,74.77,74.67,74.74,69.640017116,18788.0,0.0,1.0
2018-09-21,74.81,74.81,74.75,74.77,69.6679700263,23145.0,0.0,1.0
2018-09-24,74.72,74.72,74.65,74.65,69.5561583852,28116.0,0.0,1.0
2018-09-25,74.64,74.64,74.57,74.6,69.5095702014,19144.0,0.0,1.0
2018-09-26,74.75,74.77,74.67,74.76,69.6586523895,10926.0,0.0,1.0
2018-09-27,74.8,74.81,74.73,74.81,69.7052405733,14546.0,0.0,1.0
2018-09-28,74.86,74.86,74.78,74.78,69.677287663,12206.0,0.0,1.0
2018-10-01,74.6,74.6,74.55,74.55,69.5726506023,11682.0,0.1177,1.0
2018-10-02,74.57,74.65,74.57,74.65,69.6659740773,8339.0,0.0,1.0
2018-10-03,74.62,74.62,74.35,74.38,69.4140006948,14535.0,0.0,1.0
2018-10-04,74.32,74.32,74.2,74.22,69.2646831348,14869.0,0.0,1.0
2018-10-05,74.18,74.18,74.02,74.05,69.1060332273,11478.0,0.0,1.0
2018-10-08,74.18,74.18,74.05,74.09,69.1433626173,5951.0,0.0,1.0
2018-10-09,74.1,74.14,74.08,74.14,69.1900243548,4607.0,0.0,1.0
2018-10-10,74.08,74.12,74.03,74.12,69.1713596598,13314.0,0.0,1.0
2018-10-11,74.25,74.29,74.18,74.27,69.3113448723,12650.0,0.0,1.0
2018-10-12,74.29,74.35,74.22,74.3,69.3393419148,7871.0,0.0,1.0
