date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1999-11-01,136.5,137.0,135.5625,135.5625,90.6105440911,4006500.0,0.0,1.0
1999-11-02,135.968704,137.25,134.593704,134.593704,89.9629967777,6516900.0,0.0,1.0
1999-11-03,136.0,136.375,135.125,135.5,90.5687688287,7222300.0,0.0,1.0
1999-11-04,136.75,137.359299,135.765594,136.531204,91.2580299113,7907500.0,0.0,1.0
1999-11-05,138.625,139.109299,136.781204,137.875,92.156228799,7431500.0,0.0,1.0
1999-11-08,137.0,138.375,136.75,138.0,92.2397793237,4649200.0,0.0,1.0
1999-11-09,138.5,138.6875,136.281204,136.703094,91.3729219089,4533700.0,0.0,1.0
1999-11-10,136.25,138.390594,136.078094,137.718704,92.0517598964,6405600.0,0.0,1.0
1999-11-11,138.1875,138.5,137.468704,138.5,92.5739814227,4794100.0,0.0,1.0
1999-11-12,139.25,139.984299,137.125,139.75,93.4094866702,11802900.0,0.0,1.0
1999-11-15,139.843704,140.25,139.406204,140.078094,93.6287860772,2187500.0,0.0,1.0
1999-11-16,140.5625,143.0,140.093704,141.25,94.4120929672,7544800.0,0.0,1.0
1999-11-17,142.25,142.9375,141.3125,141.625,94.6627445415,9459000.0,0.0,1.0
1999-11-18,142.4375,143.0,141.625,142.625,95.3311487395,4491000.0,0.0,1.0
1999-11-19,142.406204,142.968704,142.0,142.5,95.2475982147,4832100.0,0.0,1.0
1999-11-22,142.4375,143.0,141.5,142.468704,95.2266798369,4155400.0,0.0,1.0
1999-11-23,142.843704,142.843704,140.375,141.218704,94.3911745894,5918000.0,0.0,1.0
1999-11-24,140.75,142.4375,140.0,141.968704,94.8924777379,4459700.0,0.0,1.0
1999-11-26,142.468704,142.875,141.25,141.4375,94.5374187543,1693900.0,0.0,1.0
1999-11-29,140.875,141.921799,140.4375,140.9375,94.2032166553,7348600.0,0.0,1.0
1999-11-30,140.75,142.3125,139.0,139.281204,93.0961414558,7682000.0,0.0,1.0
