date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2008-06-26,49.51,49.99,49.34,49.58,37.4575557785,15800.0,0.0,1.0
2008-06-27,49.41,51.45,49.26,49.5,37.3971159951,26800.0,0.0,1.0
2008-06-30,49.5,51.72,49.36,49.54,37.4273358868,23900.0,0.0,1.0
2008-07-01,49.0,49.6,47.74,49.1,37.0949170779,55100.0,0.0,1.0
2008-07-02,49.6,49.69,48.38,48.38,36.5509590271,74700.0,0.0,1.0
2008-07-03,48.54,48.81,48.06,48.51,36.6491736752,17600.0,0.0,1.0
2008-07-07,48.7,48.8,47.8,48.41,36.5736239459,55500.0,0.0,1.0
2008-07-08,47.8,48.56,47.1701,48.5,36.6416187022,54300.0,0.0,1.0
2008-07-09,48.75,49.39,47.9,47.94,36.2185402182,28900.0,0.0,1.0
2008-07-10,47.79,48.31,47.6,47.863,36.1603669267,20800.0,0.0,1.0
2008-07-11,47.19,48.25,47.1899,47.65,35.9994460033,22500.0,0.0,1.0
2008-07-14,48.8,48.8,47.28,47.49,35.8785664365,37900.0,0.0,1.0
2008-07-15,47.0,47.435,46.3399,46.76,35.3270534127,24800.0,0.0,1.0
2008-07-16,47.28,47.72,46.59,47.72,36.0523308138,23700.0,0.0,1.0
2008-07-17,48.31,48.52,47.8399,48.334,36.5162061516,26000.0,0.0,1.0
2008-07-18,48.15,48.55,47.66,48.276,36.4723873086,18300.0,0.0,1.0
2008-07-21,48.89,48.89,48.28,48.43,36.5887338917,18200.0,0.0,1.0
2008-07-22,48.12,48.7,47.98,48.7,36.7927181608,29300.0,0.0,1.0
2008-07-23,49.21,49.47,48.9401,49.08,37.0798071321,47200.0,0.0,1.0
2008-07-24,48.94,48.98,47.98,48.0,36.2638700558,39900.0,0.0,1.0
2008-07-25,48.21,48.21,47.92,48.21,36.4225244873,9000.0,0.0,1.0
2008-07-28,48.15,48.5,46.01,47.44,35.8407915718,71800.0,0.0,1.0
2008-07-29,47.6,47.9,47.44,47.9,36.1883203265,19700.0,0.0,1.0
2008-07-30,48.72,48.7201,48.3001,48.7,36.7927181608,33400.0,0.0,1.0
2008-07-31,48.63,48.84,48.2,48.21,36.4225244873,14800.0,0.0,1.0
